airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,Safety_factor,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,2,N Marzeil,20th November 2018,Ã¢Å“â€¦ Trip Verified | Tel Aviv to Brussels via Istanbul. Turkish Airlines are very bad. Tel Aviv to Istanbul the aircraft are very old and the meals are cold poor meals any other route flown by Turkish airlines with the same number of km and the same far distance are served with hot meals.,A320,Business,Economy Class,Tel Aviv to Brussels via Istanbul,Oct-18,1,4,1,3,3,1,yes
Turkish Airlines,10,W Dalucanski,20th November 2018,Ã¢Å“â€¦ Trip Verified | Izmir to Istanbul. I had a wonderful flight. Choosing my seat was free. The food was very good. I was allowed to take 30kg with me. The flight attendants were very friendly. The plane was very clean with personal IFE and power outlets. The flight was punctual.,Boeing 737-800,Solo Leisure,Economy Class,Izmir to Istanbul,Aug-18,5,5,5,4,5,5,no
Turkish Airlines,2,Stanislav Tritakov,19th November 2018,"Ã¢Å“â€¦ Trip Verified | Gatwick to Istanbul. Terrible Check in counter at Gatwick South Terminal, not aware of latest rules, lack of professional competence, lack of knowledge, not focusing on client.",,Business,Economy Class,Gatwick to Istanbul,Nov-18,,,,,1,1,no
Turkish Airlines,8,Murat Polat,17th November 2018,"Ã¢Å“â€¦ Trip Verified | Istanbul to Montreal. The boarding process was interesting. Firstly, you cannot do online check-in as they need to check your passport. After going through airport security twice, when you go to the gate you go through another security check. After that, some people were sitting behind the boarding desk while we were waiting for the plane as there weren't enough seats and the crew was pretty pissed about it even though they initially didn't say anything about them being there. Once boarded, everything was smooth again. I love the new Turkish in-flight safety video. There were a couple of new movies that I watched on the IFE system. They still have random episodes of TV Series which is interesting. The food was better than usual, with ground beef stuffed eggplant, rice and tzatziki sauce. The second meal they served (Mac and Cheese) was alright as well. I usually like Turkish's food, but this time I was actually impressed as they somehow outdid themselves. We departed slightly late but landed almost 20 minutes early which was the cherry on top.",A330-300,Solo Leisure,Economy Class,Istanbul to Montreal,Oct-18,4,5,5,4,3,5,yes
Turkish Airlines,4,D Merken,15th November 2018,"Ã¢Å“â€¦ Trip Verified | Cologne to Bogota via Istanbul. In the beginning, everything was normal, just like every airline. But lather kind of bad experiences started. First from Cologne to Istanbul the crew was very very slow and not friendly at all, I was sleeping, they were very rude to everyone and very slow. Then I arrived at my final destination that was Bogota, Colombia. They lost the whole flight bags. I understand that this can happen, but I tried calling and sending emails for almost 5 days, asking for my bags. They never gave me an answer about my bags, lather they started to ignore my emails or calls, lather they told me to stop calling them! All of the call center workers were very rude, they didn't want to help, they just wanted to make more problems. I wouldn't recommend to travel with this airline, think twice before booking with this airline, really a shame.",,Business,Economy Class,Cologne to Bogota via Istanbul,Nov-18,3,3,4,4,3,2,yes
Turkish Airlines,1,S Gan,14th November 2018,"Ã¢Å“â€¦ Trip Verified | Boston to Rome via Istanbul. While they screwed up my first name when issuing my ticket and I have to called the airline 6 times to correct my name. Each time they ran me around to different agents or had me wait for a long time for each question and each time they have me to fill out the feedback forms online. Their website to fill out the feedback forms is so terrible due to many Ã¢â‚¬Å“bugsÃ¢â‚¬Â In the online website. it either kicks me out the middle or couldnÃ¢â‚¬â„¢t proceed. Finally, got a reply email and I talked to agent who told me the only way to change my first name is to cancel my ticket and reissued a new ticket. I have to lose the money which I booked from an online travel agent and paid for the new ticket for a simple mistake that they said they couldnÃ¢â‚¬â„¢t fix. ThatÃ¢â‚¬â„¢s the most annoying and failing airlines they are operating. I wonÃ¢â‚¬â„¢t recommend anyone to this airline nor do I take Turkish Airlines again.",Boeing 777-300,Solo Leisure,Economy Class,Boston to Rome via Istanbul,Oct-18,1,2,3,3,1,1,no
Turkish Airlines,7,T Merter,10th November 2018,"Ã¢Å“â€¦ Trip Verified | I was rather underwhelmed by the new Istanbul Airport. To say that the airport resembled a construction site would be a understatement. TK has a few check-in counters operational for limited international operations. Self check-in kiosks were not available yet. No fast track either for security or passport control. No lounge, just a makeshift arrangement with limited service. Quite a major step backwards to the current arrangement for B/C and TK FFs at Ataturk airport. The terminal also rather unremarkable compared to other major hubs around the globe. Boarding uneventful and not very organized in typical TGS fashion. On board TK is very good as usual. Excellent breakfast served with inspiring menu and attentive crew. The hard product also very good with 2x2 seating, IFE and fresh looking cabin on this relatively new 737-800. On time departure and arrival. Would have appreciated a fast track arrangement for TK premium passengers at GYD.",Boeing 737-800,Solo Leisure,Business Class,Istanbul to Baku,Nov-18,4,5,5,5,2,5,yes
Turkish Airlines,9,Michael Asher,8th November 2018,"Ã¢Å“â€¦ Trip Verified | My first experience of flying from Istanbul's new Airport. Fast and easy bus from central Istanbul to the new airport. Check-in prompt and courteous. The lady asked me if I would like to check-in for my return flight as well, so I did. Had plenty of time so strolled around the magnificent new terminal. Through security - seems to have modern systems which speed up the process. As yet they don't have their Business Class lounge open. Instead was invited to a small cafe where various complimentary items were offered. Served by two extremely courteous young guys. Boarding on time. During the flight a hot light meal served. Actually it looked and tasted rather dried out but I ate it anyway as was hungry. Cabin crew were very smiley and courteous. Landed early and door was open some 20 minutes ahead of schedule. Basically an excellent flight but one point dropped because of the meal.",Boeing 737-800,Solo Leisure,Business Class,Istanbul to Antalya,Nov-18,5,5,4,3,5,5,no
Turkish Airlines,3,Jenny John,31st October 2018,"Not Verified | Flew Paris to Istanbul via Doha with Turkish Airlines. They made me lose my will to live. Because of a delay on their part, missed my connecting flight to Doha, and they put me on the next one which was 20 hours later. Absolute garbage service at the airport. Had to run around in circles for help for hours. Not worth it at all.",,Solo Leisure,Economy Class,Paris to Istanbul via Doha,Oct-18,2,2,4,3,1,3,yes
Turkish Airlines,7,P Cairnduff,28th October 2018,"Not Verified | Dublin to Cape Town via Istanbul. First time flying Turkish Airlines. Check in and boarding all very efficient. Hadn't even been on an aircraft with a 2-4-2 seating arrangement, but this is perfect for couples (was travelling with fiancÃƒÂ©e) as no need to disturb anyone else if needing out of our seats. Cabin crew were professional and efficient in meal and drinks services. Enjoyed the safety video, if a bit cheesy! Some downsides would be only adequate leg room for a 6'3"" man like myself, expensive on board WIFI ($9.99 for a hour) and cabin crew turning a blind eye to foolhardy impatient passengers who insisted on getting up and opening the overhead lockers while the plane was still taxiing! Finally, I always believe it's good practice for a cabin crew member to do an announcement to welcome passengers to the destination, especially on a long haul flight, however this was not done on any of the four flights I took. No major complaints however and would fly with them again.",,Couple Leisure,Economy Class,Dublin to Cape Town via Istanbul,Oct-18,3,3,3,5,3,4,yes
Turkish Airlines,3,Tania Condado Pereda,21st October 2018,"Ã¢Å“â€¦ Trip Verified | Istanbul to Izmir. I am not happy at all with the customer service received, I complaint and they didnÃ‚Â´t give me any satisfying solution, several texts were sent and calls were made, neither give me correct information in the airport when I ask for my damage in the suitcase (a wheel out and a whole). At the end they decided that 20 USD refund was enough for all the irregularities and for not arising out of this damage against the airline, employees, director, subcontracters and agents, they should head drop in shame, they told me to sign a letter. I had to carry a three wheel suitcase and buy another one in my holidays, besides plenty of time wasted.",,Couple Leisure,Economy Class,Istanbul to Izmir,Sep-18,3,3,,,2,2,yes
Turkish Airlines,9,James Duckworth,20th October 2018,"Ã¢Å“â€¦ Trip Verified | Cape Town to Gatwick via Istanbul. I have used Turkish Airlines many times on long haul routes and find the combination of modern / new planes, attentive but not overpowering service, excellent food and free wifi in business class to be a match for some airlines and better than a good number. This trip to Johannesburg and back from Cape Town was comfortable with good meals. Transiting Istanbul Ataturk is always interesting although it is bursting at the seams. The Turkish lounge is vast but starting to look worn. I assume there is no desire to spend money ahead of the move to the new airport. Turkish remains my airline of choice.",A321 / A330,Business,Business Class,Cape Town to Gatwick via Istanbul,Oct-18,4,4,5,4,3,4,yes
Turkish Airlines,1,Moazzam Nazir,17th October 2018,Not Verified | Lahore to Atlanta via Istanbul. The worst airline for the infants. They charge you extra for extra leg room seat for passengers with infant and also bassinet is almost never available. Had the worst experience. Will never fly again with Turkish.,,Family Leisure,Economy Class,Lahore to Atlanta via Istanbul,Oct-18,1,1,1,1,1,1,yes
Turkish Airlines,9,H Hay,16th October 2018,Ã¢Å“â€¦ Trip Verified | Edinburgh to Thessaloniki via Istanbul. Having read previous reviews I was a little worried as we were transferring through Istanbul with a very short time between flights. However everything was perfect with efficient boarding procedures and plenty of time to find the boarding gates in Istanbul. Staff were very polite and friendly and food was fine. All in all I was pleasantly surprised and I would travel with them again.,,Couple Leisure,Economy Class,Edinburgh to Thessaloniki via Istanbul,Oct-18,4,5,4,5,5,4,no
Turkish Airlines,9,Tianhao Xu,14th October 2018,"Ã¢Å“â€¦ Trip Verified | Lvov to Johannesburg via Istanbul. The first leg was flown by a A321. Check-in was smooth and efficient. The plane seemed to be pretty old, with an old school PTV - there is PTV, but it's not touchscreen nor anything on demand, you could only choose from the few existing channels. Since it's a flight less than 2 hours so it's not a big problem. A excellent light meal was served. I had a long layout in Istanbul so I left the airport for a while. Istanbul airport was a bit crowded, that's why the new airport is opening soon. The next flight, IST-JNB, is on a A333. The food was also good - probably the best food I've ever had in economy, but there's only one option if you didn't book special meal, so it might be a problem with some people. The seat pitch wasn't very good for a long haul flight but still acceptable. Amenities were good. Overall, I was impressed and would definitely like to travel with TK next time.",A321 / A333,Solo Leisure,Economy Class,Lvov to Johannesburg via Istanbul,Sep-18,4,5,5,4,5,4,no
Turkish Airlines,1,Benedict Jones,12th October 2018,"Ã¢Å“â€¦ Trip Verified | We have just returned from our honeymoon to Mauritius of which we flew from London to Mauritius via Istanbul. When we checked into the flight (hours before departure) at London Heathrow, we mentioned that we were on our honeymoon to request some good seats or potential recognition of this monuments trip which is typically offered by other airlines. What followed was both underwhelming, and, quite frankly, offensive. On the 9 hour outbound flight between Istanbul and Mauritius, we were told at check-in that we would be allocated an entire Central row as the flight was not full, so we were individually allocated seats 15D and 15G (as the plane had 4 seats in the central row). Instead of being allocated the row as promised by the check-in attendant, seats 15E and 15F were allocated to two other passengers meaning that not only was this trivial attempt at recognition of our honeymoon trip not honoured, but we had to sit apart for the entire 9 hour journey to Mauritius! We were also told that we could not change seats even by the cabin crew when I spoke with them. A similar lack of empathy for our honeymoon was demonstrated by Turkish Airlines on our return journey also. In summary, if you are planning for a special trip (E.g. A honeymoon), I would strongly recommend choosing another airline as Turkish Airlines knowingly separated us for our outbound trip. Thank you for ruining our honeymoon journey.",A330,Couple Leisure,Economy Class,Istanbul to London,Oct-18,1,1,1,1,1,1,yes
Turkish Airlines,9,Diogo Freitas,11th October 2018,"Ã¢Å“â€¦ Trip Verified | Lisbon to Sharm el-Sheikh via Istanbul. One of the best airlines I had the pleasure to fly with, offering great catering on board, even Chardonay white wine and very friendly cabin crew. Space between seats could be improved though as it was difficult to find a comfortable position to sleep and sometimes to eat. Also some room for improvement in cleaning of aircrafts' cabin. Great entertainment options on board and possibility of recharging mobile phone even if very slowly.",A321 / Boeing 737-800,Couple Leisure,Economy Class,Lisbon to Sharm el-Sheikh via Istanbul,Sep-18,3,5,5,5,4,4,no
Turkish Airlines,1,Jacques Batimba,8th October 2018,"Ã¢Å“â€¦ Trip Verified | I flew back from Yaounde to Washington Airport but my luggage never arrived. At their counter, they initially told me that they didnÃ¢â‚¬â„¢t know where my luggage was and made me filled out a claim. Few days later I received a notice that my luggage and will be sent to me in Florida. I finally picked it up at the FEDEX on 09/29 center where I found out some irregularities: my suitcase was damaged, my digital camera and camera were missing, few pairs of shoes were missing as well as some souvenirs from my trip. I immediately called the customer service the same day to make aware of the situation but their customer care is in Romania and claimed that they could not do anything. They referred me to their website. I didnÃ¢â‚¬â„¢t have time to do so because homework and my business trip the next week from 10/01-10/05. When I got back on 10/06, I filed a claim and Turkish Airlines sent me a standard message reading: ""Firstly, we would like to apologize to you for the irregularity you have suffered. Pursuant to the transportation regulations, any irregularities in relation to baggage must be communicated to our Company in writing, within 7 days at the latest. Therefore, we would like to inform you that we could not response your request positively. We wish you not to encounter suchlike irregularities, kind regards"". First my luggage arrived 7 days later. Second I contacted their customer service right away and they sent me this non sense.",,Solo Leisure,Economy Class,YaoundÃƒÂ© to Washington via Istanbul,Sep-18,3,3,3,3,1,2,no
Turkish Airlines,4,J Ragoros,6th October 2018,"Ã¢Å“â€¦ Trip Verified | Istanbul to Vienna. Most arrogant airline I have ever seen. Asking people to be at the gate 1 hour prior to boarding, which then usually starts 10-20 minutes prior to departure. Sometimes only at the time of departure. No information from gate staff, never, whatsoever. Never apologizes for delay, simply never. Seat pre-booking doesnt work. E-boarding pass can not be issued for flights starting outside Turkey usually, so you need to pick up at the check in counter anyway and do the queue (we have 2018). Unfortunately, for my route, these guys are the best option in terms of connection and times, but its really a pain and annnoying as hell.",,Business,Economy Class,Istanbul to Vienna,Oct-18,3,3,3,4,1,3,yes
Turkish Airlines,1,J Lim,26th September 2018,"Ã¢Å“â€¦ Trip Verified | Istanbul to Neveshir. This is a follow-up to my review first posted on 23rd Sept 2018. Well as it turns out, first impressions didn't quite last. Any frequent traveler would have experienced a delay in baggage arrival before, and this had to happen to us on this leg of the trip as well. Simple procedure right? Not with Turkish. While even other budget airlines can provide a proper and decent PIR (Property Irregularity Report), they couldn't. We went to the lost & found offices of 3 airports in turkey - Istanbul, Kayseri and Nevsehir, all of them got us to ""contact a different department"", bla bla bla, basically shrugging off responsibility and bringing us all over the world. When the baggage finally arrived at our hotel, it was an 18 hour delay. That's normal. What wasn't normal was that there were no forms to sign to acknowledge receipt of the baggage! The handling company said that ""we are a third party engaged by the airline"" and there was nothing to sign! While outsourcing of such responsibilities are normal, all other courier companies have let me sign a document at the point of collection to acknowledge receipt as well as to document the time of baggage arrival. So the story continues. When we finally managed to get our hands on a PIR, it was a computer generated one with no letterhead, no company stamp and no signature. A 9-year old could have reproduced the same document using MS word. Most importantly, it did not even state the eventual time of baggage arrival. How is any insurance company going to process a claim if a PIR does not state the time of baggage arrival? So now we are going around the world, from one department to another to yet another again, just to get our hands on a proper PIR. Case is not yet closed.",Boeing 737-800,Couple Leisure,Economy Class,Istanbul to Neveshir,Sep-18,2,3,3,1,1,1,yes
Turkish Airlines,9,J Lim,23rd September 2018,"Ã¢Å“â€¦ Trip Verified | A pleasant surprise. In a narrowbody aircraft type we weren't expecting any IFE, but much to our pleasant surprise, there was and a huge international selection at that! Even though it was barely a 2 hour flight, it made the experience a lot more comfortable. Check in counters were smooth and efficient and did their job well. Seat pitch presented a decent amount of legroom for a narrowbody plane. Breakfast served was delicious too, and with metal cutlery no less! First time on Turkish and I'm impressed. Only downside are the long queues while transiting in Istanbul but I hope that would be sorted out after the new airport opens next month.",A321,Couple Leisure,Economy Class,Zagreb to Kayseri via Istanbul,Sep-18,5,5,4,5,4,5,yes
Turkish Airlines,9,Philip Browne,22nd September 2018,"Ã¢Å“â€¦ Trip Verified | Manchester to Ercan via Istanbul. Check in at Manchester was fast and efficient in business class, the reason for that would become apparent later. Plane was due to depart at 1100 but when we went to the gate as advised, the inbound passengers were not being allowed to deplane as the next gate along was loading for departure and presumably the staff were worried that the passengers might get confused. Eventually, we boarded and found we had the business class cabin to ourselves. Plane left 45 minutes late and the service during the flight was, as to be expected, superb. Food was good and tasty and we were able to sleep on this section. The cabin crew were very good. Because of the delay, we were short of time in Istanbul and were ushered straight to our next flight bypassing security. The flight from Istanbul to Ercan was aboard a A321 with the 2+2 seating layout. Boarding for this flight was chaotic as is normal for this airport. The flight was only 1 hour 20 minutes so it was not too bad, but premium economy would be a better description of the business class cabin. The seats were not particularly comfortable and the seat adjust buttons did not seem to work. The meal on this flight was superb. The flight attendants were efficient and did their best on this short flight.",A330 /A321,Couple Leisure,Business Class,Manchester to Ercan via Istanbul,Sep-18,4,4,4,4,3,5,no
Turkish Airlines,1,N Daravich,20th September 2018,"Ã¢Å“â€¦ Trip Verified | Kiev to Chicago via Istanbul. We have used them before and it was good. This time in Septemmber it was not. We went to Ukraine and called them before buying our tickets and asked them if we had to change our date what would we need? They told us just call 24 hrs before the Flight and change the date, well when we called a week before to change the date they charged us $150.00 each to change it and we lost our seats that we paid over $250.00 each and they charge over $750 USD to change date. The flight was 2 hrs late with out any information to us. All the passengers had to stay in 1 small room with almost no AC or info why.",Boeing 777-300ER,Couple Leisure,Economy Class,Kiev to Chicago via Istanbul,Sep-18,2,4,4,4,1,1,yes
Turkish Airlines,3,Elisabetta Mancini,18th September 2018,"Ã¢Å“â€¦ Trip Verified | Our flight from Venice to Nairobi provided a two-hour stopover in Istanbul. Two weeks before departure we were advised that the flight to Istanbul Nairobi had been anticipated and that therefore we would have had only one hour of call but that we would have done it easily (before confirming the acceptance of the flight change, we talked with the customer service Turkish who gave us confirmation - I hope that the phone calls are recorded, as well as an email in which we confirmed that we would have made it). As expected, the flight from Venice to Istanbul leaves late. We get off the plane at 18.05. The flight to Nairobi would leave at 18.40 but already on the panel appeared written ""gate closed"". We go to the gate and at 18.15 we are there the flight was due to leave at 18.40) and the gate is actually closed and the plane has already left. They send us to a desk for customer support that is not the right one and we find out after 10 minutes of waiting thanks to another customer who warns us. After having gone through 3 Turkish desk (Ataturk airport is not really small ...) we arrive at the correct one where in an absolutely rude manner they warn us that we would have to wait 24 hours for the next plane. Without baggage. They still give us assistance by providing us with a hotel and full board. They ask us if we prefer it near the airport or the center of istanbul and we ask that it be the center. They make us get on a bus without telling us where we were going and leave us in a hotel near the airport ... no ifs and buts, without even the foresight to say: sorry in the center was all full. We lose 24 hours of vancaza, the hotel booked in Nariobi, the various visits etc. ruined holiday. We are asking for a refund. They are denying it. saying that we agreed to have only 1 hour stopover: we agreed to have 1 hour of call, true - we never agreed to lose the connection. (mail and turkish phone calls in hand) we go ahead and we do not give up. (nothing to complain about the convenience of flight, meals etc, all unexceptionable). IT: l nostro volo da Venezia a Nairobi prevedeva uno scalo di due ore ad Istanbul. Due settimane prima della partenza siamo stati avvisati che il volo Istanbul Nairobi era stato anticipato e che quindi avremmo avuto solo un'ora di scalo ma che ce l'avremmo fatta agevolmente (prima di confermare l'accettazione del cambio volo, abbiamo parlato con il customer service Turskish che ci ha dato conferma - spero che le telefonate siano registrate, oltre che ad una mail in cui ci confermavano che ce l'avremmo fatta). Come c'era da aspettarsi, il volo da Venezia ad Istanbul parte in ritardo. Scendiamo dall'aereo alle 18.05. Il volo per Nairobi sarebbe partito alle 18.40 ma giÃƒÂ sul pannello compariva scritto ""gate closed"". Ci fiondiamo al gate e alle 18.15 siamo lÃƒÂ¬ (ribadisco il volo sarebbe dovuto partire alle 18.40) ed il gate ÃƒÂ¨ effettivamente chiuso e l'aereo ÃƒÂ¨ anche giÃƒÂ partito. Ci mandano ad un desk per assistenza clienti che non ÃƒÂ¨ quello corretto e lo scopriamo dopo 10 minuti di attesa grazie ad un'altra cliente che ci avvisa. Dopo per essere passati per 3 desk Turkish ( l'aeroporto Ataturk non ÃƒÂ¨ proprio piccolo... ) arriviamo a quello corretto dove in maniera assolutamente sgarbata ci avvisano che avremmo dovuto aspettare 24 ore per l'aereo successivo. Senza bagaglio. Ci danno comunque assistenza fornendoci un albergo e pensione completa. Ci chiedono se lo preferiamo vicino all'aeroporto o al centro di istanbul e chiediamo che sia il centro. Ci fanno salire su di un pulmino senza dirci dove stessimo andando e ci lasciano in un albergo vicino all'aeroporto ... senza se e senza ma, senza neanche l'accortezza di dire: ci spiace in centro era tutto full. Perdiamo 24 ore di vancaza, l'albergo prenotato a Nariobi, le varie visite etc. vacanza rovinata. Stiamo chiedendo il rimborso. Ce lo stanno negando. dicendo che abbiamo accettato di avere solo 1 ora di scalo: abbiamo accettato di avere 1 ora di scalo, vero. non abbiamo mai accettato di perdere la coincidenza. (mail e telefonate turkish alla mano) andiamo avanti e non ci arrendiamo. (niente da ridire sulla comoditÃƒÂ del volo, pasti etc, tutto ineccepibile)",,Couple Leisure,Economy Class,Venice to Nairobi via Istanbul,Aug-18,3,3,3,3,1,3,yes
Turkish Airlines,1,Josefina Garcia,18th September 2018,"Not Verified | Gothenburg to Manila via Istanbul. The worst customer service, the worst ground crew service, the worst assistance I have ever experienced. We requested mobility assistance and the customer service reassured us that it is already fixed. When we arrived in Istanbul airport, the flight crew who assisted me get off the plane just left us without any explanation or instruction. We were clueless where should we go and where should we wait. When we asked an airport staff, he just told us in a rude manner to stay where we are and wait for the assistance for the next flight. We were so unsure and worried so we asked again a ground crew if there is an assistance coming to help me. I am handicapped and cannot walk so we really need this assistance. Boarding time is 1:05 am and it was already 12:50 and no help came. We just went to the gate by ourselves. We asked the ground crew about the assistance but all the ground crew are clueless how am I going to get in the plane. All the passengers are boarding and we are still waiting. In my previous experience, we are supposed to be the first to get in, not the last.",TK84,Family Leisure,Economy Class,Gothenburg to Manila via Istanbul,Sep-18,1,1,1,1,1,1,yes
Turkish Airlines,9,Emirhan Samanci,18th September 2018,"Ã¢Å“â€¦ Trip Verified | Istanbul to Dalaman. The food was okay. I The plane was new, ife was new, the seats were new. Legroom was good for a short flight. The cabin was clean. Takeoff and landing were smooth. Cabin crew looked unprofessional. But the drink and food service were so slow!",Boeing 737-800,Family Leisure,Economy Class,Istanbul to Dalaman,Sep-18,4,3,3,3,4,4,yes
United Airlines,1,M Nelson,18th February 2019,"Ã¢Å“â€¦ Trip Verified | Why is it every time I'm stuck flying United the flights are ridiculously late. This time, flight 712, EWR to CLE. The departure time scheduled 6:14PM, there were at least 4 changed to the departure time with the flight finally leaving EWR at 10:12 pm. The airport staff were indifferent, no offer of anything, not that I expected much after the last United flight (out of EWR) that we were on. They held us on the plane at the gate for over 2.5 hours before starting to let people off, then telling us ""wait, stay on the plane we were ready to depart"", then spending another hour at the gate before finally pushing back. United, you wont get a third chance.",Boeing 737-300,Solo Leisure,Premium Economy,Newark to Cleveland,Feb-19,3,4,3,3,1,1,no
United Airlines,1,M Garten,18th February 2019,Ã¢Å“â€¦ Trip Verified | As with all budget airlines the staff treat customers poorly. This was disgusting from the booking process. I am a high status star alliance member. But get treated poorly from beginning to end. Their website is a broken mess. I was absolutely unable to make the booking on the website. So I ring in. The price immediately goes up. They force me to do a currency conversion. But then just up the price. And charge me in USD at a higher price. Then I have to pay international fees anyway. But they don't charge me once. 8 times on this one flight I have now had. And the person messes up the booking so bad I have had to make many many phone calls to try fix it. I almost missed the flight because of incompetence of the check in staff. And again I am high status star alliance. So was at the premium check in desk. Came within minutes of missing the flight because of staff incompetence. Didn't get lounge access. Gate staff were surly and uncommunicative. I was trying to find out when the flight would actually take off. To go buy food or visit the toilet. Absolutely unsuccessful. Not bording star alliance customers with United star alliance customers. Entertainment system was broken. Power plug was broken. I paid extra for this SMH charging for services and not rendering. The flight was so late I almost missed my connection. There was absolutely no support from staff to assist me getting to my next flight. Missed the lounge again Same issues at gate. Staff just don't care. With the previous issues I had really hoped to go buy some food and visit a toilet. All of this was quite a way to go. So I sat at the gate. Broken seat. Extremely uncomfortable seat. Broken entertainment. The food. If you could call it that. Was disgusting. It really is the worst food I have seen on international flight. Couldn't even get a snack. I really enjoyed 30 hours without food and barely a toilet Break. United used to be the best. But are now the very worst.,Boeing 787,Business,Economy Class,Hong Kong to Orlando via Chicago,Feb-19,1,1,1,1,1,1,no
United Airlines,1,Timothy Gentry,14th February 2019,"Ã¢Å“â€¦ Trip Verified | Cancun to San Francisco. The absolute worst airline I have ever flown. I booked these flights months ago and have literally had nothing but problems since. To start out after well over twelve hours between on the phone and Facebook messenger (because god forbid they actually respond on the post they send you a private message to try and resolve. After all this time they said they had everything fixed then when we go to finally start our vacation they changed seats on my wife and I and we were no longer together (oh yeah and they were no help again) next flight was fine from Houston the CancÃƒÂºn. Leaving CancÃƒÂºn to San Francisco they told us to just keep our Duty Free with us that they didnÃ¢â‚¬â„¢t need it. Upon arriving to San Francisco we are told we have to collect our bags and recheck them - and we have to be able to fit 4 bottles of alcohol in 1 checked bag that was already over stuffed. (United also charges for every checked back so no I know why, they get to make another 50.00 for an additional checked bag), after being sent to several different representatives by United personnel we ended up 30 minutes later back to the same one who gladly checked another bag (at that wonderful charge) My United Mileage Plus card will be cancelled tomorrow. United Airlines is absolutely horrible, they will take more and more and give the consumer less each time. Oh by the way CancÃƒÂºn to San Francisco left at almost 6:00 p.m. and was 6 hours they didnÃ¢â‚¬â„¢t even offer a snack. Avoid them at all cost look around there are much better airlines.",Boeing 737,Couple Leisure,Economy Class,Cancun to San Francisco,Feb-19,1,1,1,1,1,1,yes
United Airlines,8,James Wallace,12th February 2019,"Not Verified | Sydney to Houston. I was told that I could use either the Singapore or Air New Zealand Lounge. I chose the Singapore Lounge and enjoyed the bacon and eggs and Champagne at 9:45 am. The Business cabin seating is 2-2-2, which makes sleeping on one's side and back comfortable but very tight when sleeping on my front. There was an excellent selection of movies to chose from. The salad was very small and no food was served for a good eleven hours--just lunch after takeoff and breakfast before landing. I would suggest more options in the galley. The fasten seatbelt sign came on many times during the flight with the recorded announcement, ""please fasten your seatbelt."" I was really happy that they did not make announcements in a second or third language which can make sleeping with United very difficult. The flight attendants did a good job and had a sense of humor but it was an older crew. The flight arrived 20 minutes late so I only had 40 minutes go through Immigration and Customs, claim my suitcase, go through security and transfer from Terminal E to Terminal C for my next flight to Orlando, but I boarded with Group 5 and made the flight.",Boeing 787-9,Solo Leisure,Business Class,Sydney to Houston,Jan-19,4,4,4,5,5,4,no
United Airlines,1,Jeet Dave,5th February 2019,"Ã¢Å“â€¦ Trip Verified | I was travelling with United to Denver International from London Heathrow. Cabin Crew were extremely unprofessional, they dropped a couple of items from my dinner tray as well as cutlery. Discourteous and non considerate at all. They didnÃ¢â‚¬â„¢t apologise and left me picking the items up. As well as this they locked the dimmable windows from when I boarded the plane and after multiple requests from myself and others they finally unlocked the windows so people could look out. It seemed as if they didnÃ¢â‚¬â„¢t know how to use the equipment and the Cabin Crews Customer Service was horrendous.",Boeing 787 Dreamliner,Family Leisure,Economy Class,London Heathrow to Denver International,Aug-18,2,1,2,1,1,2,no
United Airlines,1,C Reed,3rd February 2019,Ã¢Å“â€¦ Trip Verified | Denver to Honolulu. I made the mistake of booking United. This airline is great at treating you like a second class sub human - and that was only my check in! Not to mention the bait and switch on carryon fees. ItÃ¢â‚¬â„¢s now Spirit Airlines quality but without discount pricing and with extra abuse.,,Solo Leisure,Economy Class,Denver to Honolulu,Feb-19,1,1,1,1,1,1,no
United Airlines,10,Hamza Rayes,3rd February 2019,Not Verified | Phoenix to Rochester. I travelled for the first time with a new born and a toddler and I was amazed by the help and support of the staff in Rochester MN airport and PHX airport. They were very friendly and supportive even helped us pushing the stroller and carry one of our bags. In terms of seats they were flexible and helped us as a family be comfortable. A family friendly airline.,,Family Leisure,Economy Class,Phoenix to Rochester,Feb-19,5,5,3,3,5,4,yes
United Airlines,1,G Meares,2nd February 2019,Ã¢Å“â€¦ Trip Verified | I booked this ticket exactly a week ago. The app told me it was a 92% that the plane is on time. So of course I get to Houston just to find out the plane is late due to maintenance. I purposely chose this flight because it landed at 3 and i worked at 5. But now my flight does not arrive in TPA until 4. So now I do not have a ride and the Uber home is 45$. I have already paid 354.82$ with no carry on just so I could get out of the airport quickly. The ladies at the desk in Houston were so rude asking me why I am questioning them and they do not provide ground transportation. I contacted customer service only for her to tell me file the claim and they will get back to me in 7 days. After this I went to the customer service desk located in section C in the Houston airport. The gentleman there was the kindest and reassured me I would get reimbursed for something because itÃ¢â‚¬â„¢s a plane issue which means itÃ¢â‚¬â„¢s United fault but I cannot handle the situation until I get to Tampa. So now my options are a 45$ Uber or I have no way of getting home. As I walk the hallways I see signs saying United #1 in on time departures and then I get to the website and see there are so many complaints about flight delays and not because of weather. Save your sanity do not fly United. Thanks for nothing United.,,Solo Leisure,Economy Class,Houston to Rampa,Feb-19,3,5,4,4,3,1,no
